match_id,team_a,team_b,kickoffai_win_a,kickoffai_tie,kickoffai_win_b,google_win_a,google_tie,google_win_b,fivethirtyeight_win_a,fivethirtyeight_tie,fivethirtyeight_win_b,bettingodds_win_a,bettingodds_tie,bettingodds_win_b
1,Russia,Saudi Arabia,0.5151,0.2771,0.2078,0.67,0.23,0.10,0.66,0.22,0.12,0.6636,0.2248,0.1117
2,Egypt,Uruguay,0.1441,0.2438,0.6121,0.13,0.24,0.63,0.18,0.28,0.54,0.1188,0.2387,0.6425
3,Morocco,Iran,0.2627,0.2936,0.4437,0.43,0.33,0.24,0.40,0.33,0.27,0.4365,0.3286,0.2349
4,Portugal,Spain,0.1796,0.2651,0.5553,0.23,0.30,0.47,0.25,0.27,0.48,0.2278,0.2981,0.4741
5,France,Australia,0.6071,0.2460,0.1469,0.77,0.14,0.09,0.77,0.16,0.07,0.7659,0.1419,0.0921
6,Argentina,Iceland,0.7315,0.1871,0.0814,0.72,0.19,0.09,0.61,0.24,0.15,0.7253,0.1848,0.0899
7,Peru,Denmark,0.4450,0.2938,0.2612,0.27,0.32,0.41,0.29,0.29,0.42,0.2642,0.3151,0.4207
8,Croatia,Nigeria,0.5603,0.2630,0.1766,0.58,0.26,0.16,0.51,0.29,0.20,0.5760,0.2587,0.1654
9,Costa Rica,Serbia,0.3361,0.3023,0.3616,0.18,0.29,0.53,0.23,0.28,0.49,0.1877,0.2871,0.5252
10,Germany,Mexico,0.4969,0.2832,0.2198,0.66,0.21,0.13,0.63,0.22,0.15,0.6527,0.2160,0.1313
11,Brazil,Switzerland,0.6589,0.2232,0.1179,0.66,0.22,0.12,0.59,0.25,0.16,0.6585,0.2228,0.1187
12,Sweden,Korea Republic,0.4662,0.2899,0.2438,0.43,0.32,0.25,0.54,0.27,0.19,0.4297,0.3187,0.2516
13,Belgium,Panama,0.6858,0.2107,0.1035,0.79,0.15,0.06,0.77,0.16,0.07,0.8020,0.1431,0.0549
14,Tunisia,England,0.0944,0.2012,0.7044,0.10,0.22,0.68,0.09,0.22,0.69,0.1145,0.2323,0.6532
15,Colombia,Japan,0.5845,0.2545,0.1609,0.51,0.29,0.20,0.48,0.29,0.23,0.5168,0.2907,0.1925
16,Poland,Senegal,0.4116,0.2984,0.2900,0.38,0.32,0.30,0.45,0.29,0.26,0.3912,0.3167,0.2921
17,Russia,Egypt,0.4295,0.2962,0.2743,0.48,0.29,0.23,0.56,0.28,0.16,0.4945,0.2786,0.2269
18,Portugal,Morocco,0.5893,0.2531,0.1576,0.56,0.27,0.17,0.54,0.28,0.18,0.5711,0.2651,0.1638
19,Uruguay,Saudi Arabia,0.7341,0.1855,0.0805,0.79,0.14,0.07,0.75,0.18,0.07,0.7953,0.1469,0.0577
20,Iran,Spain,0.1240,0.2286,0.6474,0.06,0.15,0.79,0.07,0.17,0.76,0.0524,0.1454,0.8023
21,Denmark,Australia,0.4185,0.2979,0.2836,0.47,0.29,0.24,0.54,0.25,0.21,0.5040,0.2843,0.2117
22,France,Peru,0.5051,0.2806,0.2143,0.54,0.29,0.17,0.48,0.34,0.18,0.5980,0.2538,0.1482
23,Argentina,Croatia,0.4655,0.2898,0.2447,0.46,0.30,0.24,0.40,0.31,0.29,0.4598,0.2973,0.2429
24,Brazil,Costa Rica,0.7814,0.1588,0.0599,0.78,0.16,0.06,0.79,0.16,0.05,0.8007,0.1459,0.0534
25,Nigeria,Iceland,0.3505,0.3026,0.3469,0.32,0.31,0.37,0.34,0.30,0.36,0.3246,0.3152,0.3602
26,Serbia,Switzerland,0.2425,0.2883,0.4692,0.35,0.32,0.33,0.30,0.28,0.42,0.3522,0.3185,0.3293
27,Belgium,Tunisia,0.6320,0.2354,0.1326,0.70,0.20,0.10,0.76,0.16,0.08,0.7194,0.1924,0.0882
28,Korea Republic,Mexico,0.1686,0.2604,0.5710,0.17,0.27,0.56,0.19,0.26,0.55,0.1768,0.2570,0.5662
29,Germany,Sweden,0.5298,0.2737,0.1965,0.62,0.22,0.16,0.58,0.24,0.18,0.6562,0.2111,0.1327
30,England,Panama,0.7823,0.1581,0.0596,0.79,0.16,0.05,0.76,0.19,0.05,0.7875,0.1550,0.0575
31,Japan,Senegal,0.3433,0.3023,0.3544,0.29,0.31,0.40,0.41,0.29,0.30,0.3062,0.3296,0.3642
32,Poland,Colombia,0.2181,0.2817,0.5003,0.28,0.29,0.43,0.29,0.29,0.42,0.2805,0.2807,0.4388
33,Uruguay,Russia,0.5418,0.2696,0.1885,0.35,0.32,0.33,0.35,0.30,0.35,0.3539,0.3161,0.3300
34,Saudi Arabia,Egypt,0.2557,0.2921,0.4522,0.20,0.28,0.52,0.23,0.28,0.49,0.1887,0.2696,0.5417
35,Spain,Morocco,0.7782,0.1605,0.0613,0.70,0.20,0.10,0.67,0.22,0.11,0.7063,0.1927,0.1009
36,Iran,Portugal,0.2314,0.2862,0.4824,0.16,0.25,0.59,0.14,0.28,0.58,0.1596,0.2414,0.5990
37,Australia,Peru,0.2534,0.2922,0.4544,0.31,0.27,0.42,0.26,0.29,0.45,0.3333,0.2782,0.3885
38,Denmark,France,0.1662,0.2584,0.5754,0.18,0.36,0.46,0.20,0.26,0.54,0.1849,0.3501,0.4649
39,Nigeria,Argentina,0.1150,0.2215,0.6635,0.16,0.21,0.63,0.17,0.29,0.54,0.1660,0.1918,0.6422
40,Iceland,Croatia,0.1348,0.2376,0.6275,0.28,0.28,0.44,0.17,0.25,0.58,0.2243,0.2499,0.5257
41,Mexico,Sweden,0.4430,0.2953,0.2617,0.42,0.29,0.29,0.34,0.29,0.37,0.4346,0.2874,0.2779
42,Korea Republic,Germany,0.0977,0.2054,0.6968,0.06,0.13,0.81,0.05,0.14,0.81,0.0538,0.1212,0.8251
43,Switzerland,Costa Rica,0.5413,0.2698,0.1889,0.61,0.26,0.13,0.57,0.26,0.17,0.6023,0.2640,0.1337
44,Serbia,Brazil,0.0688,0.1707,0.7605,0.13,0.21,0.66,0.13,0.23,0.64,0.1354,0.2103,0.6543
45,Senegal,Colombia,0.1901,0.2703,0.5396,0.20,0.26,0.54,0.21,0.30,0.49,0.1927,0.2584,0.5488
46,Japan,Poland,0.3350,0.3025,0.3625,0.34,0.31,0.35,0.36,0.27,0.37,0.3312,0.3079,0.3609
47,Panama,Tunisia,0.2833,0.2982,0.4185,0.22,0.26,0.52,0.31,0.28,0.41,0.2224,0.2612,0.5165
48,England,Belgium,0.4390,0.2947,0.2664,0.39,0.33,0.28,0.37,0.27,0.36,0.3919,0.3401,0.2679
49,France,Argentina,0.3379,0.3033,0.3588,0.40,0.31,0.29,0.55,0.26,0.45,0.3998,0.3115,0.2886
50,Uruguay,Portugal,0.4053,0.3000,0.2947,0.33,0.33,0.34,0.45,0.26,0.55,0.3197,0.3253,0.3550
51,Spain,Russia,0.6782,0.2145,0.1073,0.60,0.24,0.16,0.78,0.26,0.22,0.6071,0.2373,0.1555
52,Croatia,Denmark,0.4917,0.2840,0.2243,0.50,0.29,0.21,0.64,0.26,0.36,0.4906,0.3009,0.2085
53,Brazil,Mexico,0.6653,0.2212,0.1135,0.65,0.22,0.13,0.82,0.26,0.18,0.6486,0.2209,0.1305
54,Belgium,Japan,0.5903,0.2526,0.1572,0.69,0.20,0.11,0.76,0.26,0.24,0.6793,0.2062,0.1146
55,Sweden,Switzerland,0.2710,0.2961,0.4330,0.30,0.32,0.38,0.48,0.26,0.52,0.2902,0.3286,0.3812
56,Colombia,England,0.2856,0.2985,0.4160,0.25,0.30,0.45,0.40,0.26,0.60,0.2404,0.3109,0.4487
57,Uruguay,France,0.3096,0.3017,0.3887,0.24,0.30,0.46,0.38,0.26,0.62,0.2110,0.3107,0.4783
58,Brazil,Belgium,0.5708,0.2599,0.1693,0.46,0.28,0.26,0.64,0.26,0.36,0.4548,0.2820,0.2632
